gene_ID,genes,MLS0036,MLS0037,MLS0038,MLS0039,MLS0040,MLS0041,MLS0042,MLS0043,MLS0044,MLS0045,MLS0046,MLS0047,MLS0048,MLS0049
ENSMUSG00000042554.10,Zp3r,0,0,0,0,0,0,0,51.542514,0,0,0,0,0,0
ENSMUSG00000004948.12,Zp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000030911.7,Zp2,0,0,0,110.124625,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024734.8,Zp1,0,0,0,0,169.615949,0,0,0,0,0,0,0,0,0
ENSMUSG00000044526.3,Znrf4,0,0,0,0,0,76.302701,0,81.367495,0,0,0,0,0,0
ENSMUSG00000041961.14,Znrf3,0,0,0,0,0,0,0,0,0,0,2.386154,3.07164,0,9.741992
ENSMUSG00000058446.14,Znrf2,0,0,0,0,0,30.697383,11.278939,0,8.096391,5.114536,8.83745,56.137066,6.649498,3.481805
ENSMUSG00000033545.14,Znrf1,0,0,11.110605,0,0,0,107.309996,0,91.756671,72.877526,20.022324,0,26.378459,35.562241
ENSMUSG00000079478.9,Znrd2,0,0,0,0,0,0,0,0,0,0,7.326064,0,28.114062,0
ENSMUSG00000036214.14,Znrd1as,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000036315.13,Znrd1,0,0,0,0,0,420.459032,0,0,0,0,14.518914,33.710669,14.368176,0
ENSMUSG00000074182.8,Znhit6,0,0,0,0,0,0,42.5745,0,59.708071,0,22.322123,0,33.653403,0
ENSMUSG00000020526.12,Znhit3,0,0,0,246.814123,0,122.415172,128.6586,186.703709,61.570228,116.682792,12.456288,0,12.641778,0
ENSMUSG00000075227.6,Znhit2,0,0,39.618358,0,0,0,0,0,12.400561,0,4.060674,0,0,0
ENSMUSG00000059518.14,Znhit1,0,0,0,0,116.789314,0,43.983984,0,29.692014,24.920663,22.542306,0,100.34376,0
ENSMUSG00000039501.14,Znfx1,0,0,18.831582,122.617635,19.651726,21.780064,0,23.182776,35.588052,10.942983,27.788073,29.204316,15.169264,54.137842
ENSMUSG00000084350.1,Znf41-ps,0,0,0,0,0,0,0,0,0,0,6.467123,6.390961,5.406678,0
ENSMUSG00000039671.18,Zmynd8,0,0,13.507892,165.523701,31.93025,17.689891,15.326781,18.854962,4.168588,19.708912,14.922422,7.272749,4.749453,0
ENSMUSG00000026974.11,Zmynd19,0,271.036116,13.003104,32.630307,0,0,30.09402,0,28.803475,0,7.017605,0,1.671319,0
ENSMUSG00000040829.14,Zmynd15,0,0,0,0,0,32.124048,0,0,22.665552,0,7.892376,10.967109,10.447389,7.287244
ENSMUSG00000070806.5,Zmynd12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021156.17,Zmynd11,81.92259,0,0,0,51.270519,0,126.308144,61.876021,47.54169,7.754454,56.232486,127.911732,63.965699,43.184785
ENSMUSG00000010044.12,Zmynd10,0,0,635.545784,0,0,0,0,0,0,0,3.820196,0,0,0
ENSMUSG00000042408.13,Zmym6,0,0,0,0,0,0,0,0,0,0,1.673311,0,1.628588,0
ENSMUSG00000040123.17,Zmym5,0,0,0,0,0,0,0,0,2.965301,0,3.87864,0,5.311987,0
ENSMUSG00000042446.16,Zmym4,0,0,0,0,14.053255,173.069727,0,0,24.113038,4.478785,8.346953,0,1.124786,3.050155
ENSMUSG00000031310.16,Zmym3,0,0,27.672944,0,0,0,0,81.642623,13.461851,0,6.035348,0,12.851661,0
ENSMUSG00000021945.9,Zmym2,0,0,39.618286,99.419227,0,0,0,0,108.093971,0,13.676672,0,0,0
ENSMUSG00000043872.14,Zmym1,0,0,0,53.977236,0,0,14.068554,0,0,25.518048,4.234536,6.536036,5.394081,0
ENSMUSG00000043207.10,Zmpste24,0,0,0,0,23.792952,52.693145,0,0,9.265161,0,15.419339,33.842555,9.511749,0
ENSMUSG00000041164.15,Zmiz2,0,0,0,30.330099,22.384722,47.384813,17.430852,0,8.265869,0,36.471013,19.45128,17.900565,5.785968
ENSMUSG00000087535.2,Zmiz1os1,0,0,0,0,0,0,0,27.771437,0,0,0,0,0,0
ENSMUSG00000007817.15,Zmiz1,0,0,22.809491,0,15.115798,0,13.348366,0,50.491923,8.258251,28.388796,23.618412,31.227307,3.796749
ENSMUSG00000009076.10,Zmat5,0,0,0,0,0,0,0,0,0,38.010304,14.425981,0,8.23631,0
ENSMUSG00000037492.16,Zmat4,0,0,0,0,0,0,0,0,6.694108,0,0,0,0,0
ENSMUSG00000027663.12,Zmat3,0,0,13.123811,289.445244,0,0,226.321854,1087.164184,144.409967,274.792647,17.235156,177.242192,47.852226,0
ENSMUSG00000001383.9,Zmat2,0,0,0,0,0,0,14.369662,0,51.429565,13.032104,58.240187,13.351852,136.296679,0
ENSMUSG00000052676.16,Zmat1,0,0,0,0,0,0,0,0,0,0,1.483127,0,0,0
ENSMUSG00000063894.15,Zkscan8,0,0,0,0,0,0,0,0,2.133984,0,1.083665,0,2.963388,0
ENSMUSG00000063488.6,Zkscan7,0,0,10.747801,0,0,0,0,0,19.433583,0,0.787913,0,19.677693,5.075402
ENSMUSG00000111063.1,Zkscan7,0,0,0,0,0,0,0,0,0,0,0,0,1.154541,20.700869
ENSMUSG00000018347.16,Zkscan6,0,0,0,0,0,0,14.552737,0,13.902627,26.338054,5.315501,0,5.708354,35.86363
ENSMUSG00000055991.15,Zkscan5,0,0,0,0,0,0,0,26.496841,0,0,1.469331,0,0,0
ENSMUSG00000054931.7,Zkscan4,0,0,33.696985,0,0,0,13.8308,0,0,0,0,0,0,0
ENSMUSG00000021327.19,Zkscan3,0,0,24.124749,0,0,0,0,0,0,0,10.074825,0,10.28482,47.004302
ENSMUSG00000030757.13,Zkscan2,0,93.761273,0,0,0,0,0,0,0,7.688459,0,0,0,0
ENSMUSG00000020472.14,Zkscan17,0,0,0,169.033463,0,23.502271,0,25.062297,16.400551,7.831496,3.14718,0,3.325067,0
ENSMUSG00000038630.8,Zkscan16,136.955283,0,0,0,0,32.33443,0,0,34.112639,32.323723,4.96466,22.077866,0,14.669938
ENSMUSG00000029627.12,Zkscan14,0,0,62.194836,0,0,45.929028,0,42.951009,0,0,0,0,0,0
ENSMUSG00000029729.12,Zkscan1,0,0,0,0,0,0,0,40.412939,0,0,3.43178,6.721517,0,0
ENSMUSG00000108043.2,Zim3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108113.2,Zim2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002266.17,Zim1,73.282587,0,0,73.170591,46.693706,0,0,55.367269,8.887558,0,0.996191,8.860135,0,0
ENSMUSG00000030393.8,Zik1,0,0,0,0,0,0,0,0,3.783072,0,0,0,0,4.880663
ENSMUSG00000041703.7,Zic5,0,0,0,0,17.114754,0,0,20.20959,0,0,0,3.23503,0,12.897359
ENSMUSG00000036972.14,Zic4,0,0,407.572099,80.047824,0,0,0,60.411074,0,0,0,0,4.099147,25.708977
ENSMUSG00000067860.11,Zic3,0,0,0,0,0,0,0,98.706326,0,0,0,0,0,0
ENSMUSG00000061524.8,Zic2,0,0,62.398914,0,106.648408,0,0,0,6.510295,0,2.842471,0,16.040551,0
ENSMUSG00000032368.14,Zic1,0,0,286.597252,0,0,0,0,17.185001,0,0,1.846023,0,0,51.883242
ENSMUSG00000035877.17,Zhx3,0,32.722639,0,41.820352,23.099103,19.77736,0,41.7061,1.73875,6.590236,3.850274,8.938397,1.41751,0
ENSMUSG00000071757.10,Zhx2,0,0,0,0,0,41.289944,0,44.030674,0,0,3.566081,7.048167,1.490667,0
ENSMUSG00000022361.14,Zhx1,0,123.809122,10.476415,0,0,0,0,0,0,0,20.322207,6.327933,30.971564,0
ENSMUSG00000051278.12,Zgrf1,0,0,0,0,0,0,0,0,0,0,2.813291,0,0,0
ENSMUSG00000027582.16,Zgpat,0,0,63.998802,0,0,0,14.509751,0,4.333093,0,10.416991,0,17.832913,0
ENSMUSG00000079681.3,Zglp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000049350.6,Zg16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000034557.14,Zfyve9,0,0,23.386448,0,0,0,0,0,0,0,3.230547,0,1.052406,0
ENSMUSG00000037224.15,Zfyve28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000018820.13,Zfyve27,0,437.064543,9.044933,0,0,0,31.901284,116.724491,29.274742,0,12.784876,0,18.138366,0
ENSMUSG00000066440.5,Zfyve26,26.396947,0,0,0,0,0,0,0,27.200539,0,5.188773,77.839703,9.545578,5.418715
ENSMUSG00000021286.8,Zfyve21,0,231.898632,39.367688,98.790235,0,0,0,0,36.966304,0,13.207899,59.81193,10.302084,31.7947
ENSMUSG00000068580.11,Zfyve19,0,0,0,0,129.648941,0,0,0,22.078394,0,22.676937,42.815106,43.390547,34.085388
ENSMUSG00000021706.14,Zfyve16,20.740003,0,8.252214,0,0,0,0,0,0,0,7.74169,0,3.392342,0
ENSMUSG00000042628.8,Zfyve1,548.606379,0,0,273.883979,175.453782,194.284669,79.563391,0,34.161536,0,15.992426,0,63.123591,0
ENSMUSG00000000103.12,Zfy2,0,0,17.870852,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000053211.10,Zfy1,0,0,17.977904,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000079509.10,Zfx,0,43.430827,7.414583,0,11.896696,0,4.829024,27.991544,4.607958,0,3.669803,2.233581,1.903597,11.962315
ENSMUSG00000034949.18,Zfr2,0,0,14.264091,0,0,0,9.814755,0,0,0,0,0,0,0
ENSMUSG00000022201.16,Zfr,0,0,0,0,88.926209,0,6.844107,0,70.985291,6.207043,43.010476,70.264204,26.883857,36.272372
ENSMUSG00000022306.9,Zfpm2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000049577.15,Zfpm1,0,0,0,0,0,0,0,0,0,8.880283,5.626249,9.098165,0,0
ENSMUSG00000024792.9,Zfpl1,343.216,0,0,0,291.31712,0,140.259851,0,0,0,11.205161,0,26.571022,0
ENSMUSG00000078546.8,Zfp995,0,0,0,0,0,0,0,0,29.803198,0,0.927505,0,0,0
ENSMUSG00000096433.2,Zfp994,0,0,0,0,0,0,6.799246,0,0,6.166358,4.617124,0,1.336165,0
ENSMUSG00000063245.11,Zfp993,0,0,0,0,0,0,26.034446,0,0,0,6.799638,39.848521,16.855694,0
