"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Abcd2",0.00593245471100513,1.19478323176098,0.268,0.102,1,"2","Abcd2"
"Slc7a6os",0.00651137772312502,1.06101559112785,0.293,0.113,1,"2","Slc7a6os"
"Creld1",0.0068317750510777,1.13044725140009,0.268,0.102,1,"2","Creld1"
"BC029722",0.00692779239896581,1.0380830519882,0.366,0.175,1,"2","BC029722"
"Eps15l1",0.00732585832125372,1.04459254445685,0.268,0.102,1,"2","Eps15l1"
"Oasl2",0.00778481426463791,1.35968997558728,0.268,0.107,1,"2","Oasl2"
"Mfng",0.00821970310643604,1.22589544956279,0.268,0.107,1,"2","Mfng"
"Comtd1",0.00826360086121041,1.29088177499964,0.293,0.136,1,"2","Comtd1"
"Gmpr",0.00828892295427994,1.02985300665664,0.341,0.153,1,"2","Gmpr"
"Nt5c3",0.0083317674098871,1.17929666965899,0.268,0.107,1,"2","Nt5c3"
"Ilf3",0.00851444747164801,1.03559003944618,0.366,0.175,1,"2","Ilf3"
"Gpat4",0.00883871781091738,1.05925337068188,0.341,0.164,1,"2","Gpat4"
"Nae1",0.00897425718353922,1.06690134478241,0.366,0.181,1,"2","Nae1"
"Luzp1",0.00916051902844051,1.17314166579835,0.317,0.141,1,"2","Luzp1"
"Swt1",0.0095706951528906,1.07090284163829,0.317,0.147,1,"2","Swt1"
"X2810417H13Rik",2.07754693644487e-19,4.40985137063817,0.615,0.056,3.99927785265637e-15,"3","X2810417H13Rik"
"Nusap1",2.37013877132476e-19,5.83192482732142,0.513,0.022,4.56251713480016e-15,"3","Nusap1"
"Tk1",5.33923819273841e-19,4.61782864390898,0.564,0.039,1.02780335210214e-14,"3","Tk1"
"Birc5",7.19992873845598e-19,4.3532389694529,0.564,0.039,1.38598628215278e-14,"3","Birc5"
"Kif22",7.29535296338254e-19,7.78433690064254,0.41,0,1.40435544545114e-14,"3","Kif22"
